model,accuracy,records

logistic_regression,0.7458,300
random_forest_classifier,0.7966,300
xgboost_classifier,0.7797,300
sequential,0.7627,300

logistic_regression,0.7881,600
random_forest_classifier,0.7373,600
xgboost_classifier,0.7203,600
sequential,0.7712,600

logistic_regression,0.6186,1200
random_forest_classifier,0.6653,1200
xgboost_classifier,0.6525,1200
sequential,0.6229,1200

logistic_regression,0.6674,2300
random_forest_classifier,0.6740,2300
xgboost_classifier,0.6476,2300
sequential,0.6674,2300

logistic_regression,0.6734,5000
random_forest_classifier,0.6684,5000
xgboost_classifier,0.6613,5000
sequential,0.6714,5000

logistic_regression,0.6940,10353
random_forest_classifier,0.6901,10353
xgboost_classifier,0.6940,10353
sequential,0.6901,10353
