id,team
1,red canids
2,grêmio esports
3,galatasaray esports
4,s2g esports
5,novo esports
6,hge esport
7,corinthians esports inclusivo
8,ret
9,team liquid brazil
10,mibr gc
11,zeta gaming
12,ramboot club
13,2game esports gc
14,ainda estamos aqui
15,2game esports
16,evil geniuses
17,cicadas gaming
18,la masia
19,sentinels
20,krü esports
21,loud
22,nova esports
23,funplus phoenix
24,9z team
25,zen esports
26,fenerbahçe esports
27,eternal fire
28,enterprise esports
29,esc gaming
30,siko esports
31,kcorp blue stars
32,winthrop university
33,m80
34,fraggerz
35,the ultimates
36,akave esports gc
37,fusion x
38,velocity gaming
39,asterisk
40,drx
41,paper rex
42,koi fénix
43,barça esports
44,tbk esports
45,vila do zana
46,kpi gaming
47,falke esports
48,i̇stanbul wildcats
49,talon
50,team secret
51,g2 esports
52,furia
53,stellae gaming
54,peek
55,twisted minds
56,united gaming
57,karmine corp gc
58,giantx gc
59,oblivion force
60,s2 esports
61,riddle order
62,noez foxx
63,los grandes
64,2game academy
65,gonext esports
66,formulation gaming
67,gen.g
68,boom esports
69,fokus
70,eintracht frankfurt
71,zeta division
72,jd mall jdg esports(jdg esports)
73,trace esports
74,dnsty
75,las cabras
76,leviatán academy
77,furia academy
78,no sweat blossom
79,wolves esports
80,exo clan
81,bonk
82,reckoning esports
83,fire flux esports
84,papara supermassive
85,z11
86,the mongolz
87,mandatory
88,joblife
89,bbl pcific
90,galakticos
91,zeta division academy
92,metizport
93,acegear tempest
94,100 thieves
95,aura
96,s8ul esports
97,alternate attax
98,t1
99,cloud9
100,nrg esports
101,university war gc
102,zen esports gc
103,shinden
104,nottingham miedo
105,fuego
106,e-xolos lazer
107,mouz
108,xperion nxt
109,sagaz
110,dplus esports
111,fearx
112,rex regum qeon
113,murash gaming
114,agropesca jacare
115,oasis gaming
116,xgod
117,cgn esports
118,ambrosia
119,maryville university
120,teamorangegaming
121,drx academy
122,sengoku gaming
123,sweetnsour
124,bitfix gaming
125,t1 academy
126,team nkt
127,ucam esports club
128,bbl esports
129,karmine corp
130,shopify rebellion black
131,orangutan
132,global esports academy
133,dragon ranger gaming
134,edward gaming
135,dvm esport
136,rebirth esports
137,xi lai gaming
138,all gamers
139,team vitality
140,giantx
141,detonation focusme
142,global esports
143,team gb
144,team ra'ad
145,ulf esports
146,f4tality
147,dfm academy
148,tyloo
149,titan esports club
150,team liquid
151,gentle mates
152,bilibili gaming
153,vila das flores
154,stellae gaming gc
155,děti ulice
156,pixel lumina
157,leviatán
158,zero tenacity
159,mir
160,fennel
161,chivas esports
162,ab3 esports
163,team heretics
164,apeks
165,gen.g global academy
166,team liquid academy
167,wylde
168,revenant xspark
169,oxen
170,zol esports
171,leviatán gc
172,prasso clan
173,team valiant
174,shopify rebellion gold
175,nongshim redforce
176,fnatic
177,natus vincere
178,mibr
179,six karma
180,non-verbal(funhavers)
181,reject
182,rizon
183,one more esports
184,nasr esports
185,cintanegra esports
186,fusion
187,hakikimori
188,contra
189,corinthians esports
190,rrq academy
191,full sense
192,xipto esports
193,sharper esport
194,hellguardians esports violet
195,mibr academy
196,krü blaze
197,antares esports gc
198,myvra gc
199,fut esports
200,movistar koi(koi)
201,ktana gc
202,blue otter
203,ydz x berzerkers
204,burger boyz
205,g2 gozen
206,zerance mint
207,sk nebula
208,heroic valkyries
209,swaglord9000
210,eternal valor esports gc
211,las cabras gc
212,team falcons vega
213,ascend
214,lyost
215,evoza esport
216,precision power quickness
217,lux gc
218,elected team
219,funhavers
220,erinite esports
221,suzaku esports
222,gmblers esports
223,lilmix
224,ailurus esports
225,mix
226,lilax
227,mad army
228,arf team
229,zerance
230,slt seongnam
231,inferno eclipse
232,rapid
233,yung
234,antic esc
235,noob esports
236,exsto gaming gc
237,ignite
238,fruit ninjas
239,cubert academy
240,kadiliman
241,tsm
242,soi thai esports
243,good boy
244,godsent
245,lost puppies
246,northwood university
247,landor
248,fancy united esports
249,envy
250,baam esports
251,1up festival esports
252,goodfor1
253,team flash
